T: 71493 ID: 101, Data: 75 07 7D 02 82 15 00 00 
T: 71493 ID: 101, Data: C7 08 7D 02 82 16 00 00 
T: 71493 ID: 40, Data: 71 08 00 00 C3 00 00 00 
T: 71493 ID: 101, Data: 42 0A 7D 01 82 1A 00 00 
T: 71493 ID: 12B, Data: 01 1B 80 10 00 00 00 00 
T: 71493 ID: 30C, Data: 78 FF 3F 00 60 30 00 50 
T: 71493 ID: 101, Data: E9 0B 7D 01 82 1C 00 00 
T: 71493 ID: 5A0, Data: 0D 75 81 20 78 
T: 71493 ID: 5F5, Data: FE 07 F8 1F 00 FF DF FF 
T: 71493 ID: 31B, Data: 52 09 00 00 00 00 00 00 
T: 71493 ID: 101, Data: 43 01 7D 02 82 1A 00 00 
T: 71493 ID: 101, Data: 7F 03 7D 02 82 14 00 00 
T: 71493 ID: 12B, Data: 8C 11 80 10 00 00 00 00 
T: 71493 ID: 6B0, Data: EA 01 68 02 7C 59 
T: 71493 ID: 6C0, Data: 46 00 04 01 01 00 00 00 
T: 71493 ID: 5CC, Data: 44 51 12 38 1B 
T: 71493 ID: 101, Data: D0 07 7D 02 82 20 00 00 
T: 71493 ID: 30C, Data: 85 F4 3F 00 60 30 00 50 
T: 71493 ID: 3C0, Data: 74 00 03 00 
T: 71493 ID: 101, Data: BF 0C 7D 01 82 1E 00 00 
T: 71493 ID: 394, Data: DD 12 00 1A 00 00 00 00 
T: 71493 ID: 3E5, Data: A6 12 00 00 00 00 00 00 
T: 71493 ID: 5CC, Data: 3C A8 00 
T: 71493 ID: 31B, Data: 79 00 00 00 00 00 00 00 
T: 71493 ID: 101, Data: 05 03 7D 02 82 13 00 00 
T: 71493 ID: 485, Data: 0A 10 D0 11 BB 4C 21 5B 
T: 71493 ID: 101, Data: 53 04 7D 02 82 11 00 00 
T: 71493 ID: 3D5, Data: 91 42 40 04 00 00 00 00 
T: 71493 ID: 101, Data: 82 05 7D 02 82 10 00 00 
T: 71493 ID: 5CC, Data: 3A 42 03 00 29 00 04 00 
T: 71493 ID: 520, Data: 5B 0C 00 0C 00 AA 02 00 
T: 71493 ID: 101, Data: F7 0A 7D 02 82 0F 00 00 
T: 71493 ID: 5E9, Data: 00 63 01 00 00 00 00 00 
T: 71493 ID: 6B2, Data: 06 78 69 20 B1 26 71 0D 
T: 71493 ID: 31E, Data: AC E7 3F 00 00 00 00 00 
T: 71493 ID: 520, Data: 3F 0D 00 0C 00 AA 02 00 
T: 71493 ID: 5CC, Data: F0 FF 00 79 03 00 00 00 
T: 71493 ID: 3D6, Data: 05 00 00 00 00 00 00 00 
T: 71493 ID: 101, Data: 1E 04 7E 02 82 1B 00 00 
T: 71493 ID: 5FC, Data: 20 46 00 00 00 00 00 00 
T: 71493 ID: 5CC, Data: 31 C4 0A 
T: 71493 ID: 569, Data: 00 00 00 3E 00 10 00 00 
T: 71493 ID: 394, Data: 70 15 00 1A 00 00 00 00 
T: 71493 ID: 3C0, Data: BB 06 03 00 
T: 71493 ID: 386, Data: 00 00 00 00 00 00 20 00 
T: 71493 ID: 101, Data: C4 0A 7D 02 82 1D 00 00 
T: 71493 ID: 101, Data: 70 0C 7D 01 82 18 00 00 
T: 71493 ID: 5CC, Data: 32 A1 00 00 
T: 71493 ID: 101, Data: EF 0F 7D 02 82 1E 00 00 
T: 71493 ID: 101, Data: 99 02 7E 02 82 18 00 00 
T: 71493 ID: 3D5, Data: 37 48 40 04 00 00 00 00 
T: 71493 ID: 101, Data: 32 03 7E 02 82 1E 00 00 
T: 71493 ID: 394, Data: 9F 17 00 1A 00 00 00 00 
T: 71493 ID: 116, Data: 95 06 00 00 00 00 00 FF 
T: 71493 ID: 101, Data: 76 08 7D 02 82 1A 00 00 
T: 71493 ID: 5F7, Data: 00 FF FB DF FF FE FF FF 
T: 71493 ID: 101, Data: C8 0A 7D 01 82 1E 00 00 
T: 71493 ID: 101, Data: EC 0D 7D 02 82 15 00 00 
